NoA:10, NoC:10, NoS: 2
STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH | OUT
    |             |                     |     A17R      |                         |     |     Thread-26
    |             |                     |               |     C12Y                |     |     Thread-28
    |             |                     |               | A13R                    |     |     Thread-24
    |             |                     |               |                         |     | A04 Thread-19
    |             |                     |               |                         | C05 |     Thread-15
    |             |                     |               |               A13R      |     |     Thread-24
    |             |                     |               | C14R                    |     |     Thread-31
    |             |                     | C19B          |                         |     |     Thread-32
    |             |                     |               |          C14R           |     |     Thread-31
    |             |                     |               | C16B                    |     |     Thread-30
    |             |                     |          C19B |                         |     |     Thread-32
    |             |                     |               |                         |     | C05 Thread-15
    |             |                     |               | A15R                    |     |     Thread-26
    |             |                     |               |                    A15R |     |     Thread-26
    |             |                     |     A18Y      |                         |     |     Thread-27
    |             |                     |               |     C16B                |     |     Thread-30
    |             |                     |               |                         | A06 |     Thread-18
    |             |                     |               | A17B                    |     |     Thread-25
    |             |                     |               |               A17B      |     |     Thread-25
    |             |                     |               | C18B                    |     |     Thread-32
    |             |                     |               |          C18B           |     |     Thread-32
    |             |                     |               | A19Y                    |     |     Thread-27
    |             |                     |               |                         |     | A06 Thread-18
    |             |                     |               |               A19Y      |     |     Thread-27
    |             |                     |               |                         | C07 |     Thread-22
    |             |                     |               |                         |     | C07 Thread-22
    |             |                     |               |                         | A08 |     Thread-20
    |             |                     |               |                         |     | A08 Thread-20
    |             |                     |               |                         | C09 |     Thread-23
    |             |                     |               |                         |     | C09 Thread-23
    |             |                     |               |                         | C10 |     Thread-29
    |             |                     |               |                         |     | C10 Thread-29
    |             |                     |               |                         | A11 |     Thread-21
    |             |                     |               |                         |     | A11 Thread-21
    |             |                     |               |                         | C12 |     Thread-28
    |             |                     |               |                         |     | C12 Thread-28
    |             |                     |               |                         | C13 |     Thread-31
    |             |                     |               |                         |     | C13 Thread-31
    |             |                     |               |                         | A14 |     Thread-24
    |             |                     |               |                         |     | A14 Thread-24
    |             |                     |               |                         | A15 |     Thread-26
    |             |                     |               |                         |     | A15 Thread-26
    |             |                     |               |                         | A16 |     Thread-25
    |             |                     |               |                         |     | A16 Thread-25
    |             |                     |               |                         | C17 |     Thread-30
    |             |                     |               |                         |     | C17 Thread-30
    |             |                     |               |                         | C18 |     Thread-32
    |             |                     |               |                         |     | C18 Thread-32
    |             |                     |               |                         | A19 |     Thread-27
    |             |                     |               |                         |     | A19 Thread-27
